기간,캠페인 ID,캠페인,노출,클릭,비용 (VAT 포함),전환수,전환매출액
2026-08-04,CMP-1001,지역_타겟_인지,19120,428,47729,4,155512
2026-08-05,CMP-1001,지역_타겟_인지,20796,444,51662,4,142611
2026-08-06,CMP-1001,지역_타겟_인지,22924,392,50020,4,152495
2026-08-07,CMP-1001,지역_타겟_인지,21848,468,56492,6,256599
2026-08-08,CMP-1001,지역_타겟_인지,20495,405,49371,4,142327
2026-08-09,CMP-1001,지역_타겟_인지,21194,475,59871,4,175102
2026-08-10,CMP-1001,지역_타겟_인지,18894,366,45185,3,126707
2026-08-11,CMP-1001,지역_타겟_인지,22578,429,56405,6,226573
2026-08-12,CMP-1001,지역_타겟_인지,19923,429,56356,6,247282
2026-08-13,CMP-1001,지역_타겟_인지,18601,368,47590,5,199907
2026-08-14,CMP-1001,지역_타겟_인지,21215,369,43678,4,181650
2026-08-15,CMP-1001,지역_타겟_인지,21292,399,46857,6,266981
2026-08-16,CMP-1001,지역_타겟_인지,23783,518,64255,6,201332
2026-08-17,CMP-1001,지역_타겟_인지,17838,343,44979,4,129374
2026-08-18,CMP-1001,지역_타겟_인지,22073,396,43741,5,186246
2026-08-19,CMP-1001,지역_타겟_인지,23512,412,44806,7,275267
2026-08-20,CMP-1001,지역_타겟_인지,19760,384,46522,6,193672
2026-08-21,CMP-1001,지역_타겟_인지,23546,486,64000,7,298325
2026-08-22,CMP-1001,지역_타겟_인지,19769,350,40483,3,95901
2026-08-23,CMP-1001,지역_타겟_인지,25374,434,48355,5,209573
2026-08-24,CMP-1001,지역_타겟_인지,20327,386,42037,5,166806
2026-08-25,CMP-1001,지역_타겟_인지,21386,379,43891,5,168435
2026-08-26,CMP-1001,지역_타겟_인지,24233,516,60281,7,309243
2026-08-27,CMP-1001,지역_타겟_인지,24440,559,70496,6,266962
2026-08-28,CMP-1001,지역_타겟_인지,21485,482,53276,4,125428
2026-08-29,CMP-1001,지역_타겟_인지,22775,506,60513,8,298059
2026-08-30,CMP-1001,지역_타겟_인지,21218,434,55159,6,259510
2026-08-31,CMP-1001,지역_타겟_인지,19530,334,40274,4,160596
2026-09-01,CMP-1001,지역_타겟_인지,20107,433,55240,6,249875
2026-09-02,CMP-1001,지역_타겟_인지,20370,419,54790,5,168762
