날짜,캠페인,캠페인 상태,노출수,클릭수,비용,전환수,전환 가치
2026-08-04,퍼포먼스_검색,사용 설정됨,11122,316,107217,12,543229
2026-08-05,퍼포먼스_검색,사용 설정됨,10477,258,87745,8,378521
2026-08-06,퍼포먼스_검색,사용 설정됨,10354,269,97283,10,427331
2026-08-07,퍼포먼스_검색,사용 설정됨,11357,252,88999,10,471067
2026-08-08,퍼포먼스_검색,사용 설정됨,8491,236,81673,12,521697
2026-08-09,퍼포먼스_검색,사용 설정됨,8334,233,81465,6,235852
2026-08-10,퍼포먼스_검색,사용 설정됨,10500,290,106174,15,757577
2026-08-11,퍼포먼스_검색,사용 설정됨,10219,245,85537,12,666451
2026-08-12,퍼포먼스_검색,사용 설정됨,9569,216,70622,10,542064
2026-08-13,퍼포먼스_검색,사용 설정됨,10516,309,114883,16,641981
2026-08-14,퍼포먼스_검색,사용 설정됨,10747,269,96744,12,596988
2026-08-15,퍼포먼스_검색,사용 설정됨,9469,276,98254,14,803266
2026-08-16,퍼포먼스_검색,사용 설정됨,8368,227,85331,9,390873
2026-08-17,퍼포먼스_검색,사용 설정됨,11726,291,107112,12,664582
2026-08-18,퍼포먼스_검색,사용 설정됨,9710,287,101456,8,358007
2026-08-19,퍼포먼스_검색,사용 설정됨,10130,271,85496,12,679347
2026-08-20,퍼포먼스_검색,사용 설정됨,10774,272,99913,9,477580
2026-08-21,퍼포먼스_검색,사용 설정됨,12268,365,126560,10,428866
2026-08-22,퍼포먼스_검색,사용 설정됨,10763,281,107918,11,425615
2026-08-23,퍼포먼스_검색,사용 설정됨,10093,241,77254,8,346159
2026-08-24,퍼포먼스_검색,사용 설정됨,11571,324,115813,11,500548
2026-08-25,퍼포먼스_검색,사용 설정됨,10725,267,90515,8,358559
2026-08-26,퍼포먼스_검색,사용 설정됨,11476,322,116260,12,488606
2026-08-27,퍼포먼스_검색,사용 설정됨,12906,290,108909,8,408011
2026-08-28,퍼포먼스_검색,사용 설정됨,12793,374,138052,15,755928
2026-08-29,퍼포먼스_검색,사용 설정됨,10054,256,87614,9,483037
2026-08-30,퍼포먼스_검색,사용 설정됨,10724,250,86630,11,568860
2026-08-31,퍼포먼스_검색,사용 설정됨,12763,360,118792,13,538916
2026-09-01,퍼포먼스_검색,사용 설정됨,10563,277,90207,11,583691
2026-09-02,퍼포먼스_검색,사용 설정됨,10970,318,112689,15,792550
