보고 시작,캠페인 이름,광고 세트 이름,노출,링크 클릭,지출 금액,결과,결과 유형,구매 전환값
2026-08-04,여름_프로스펙팅,AS_LAL10_광고세트,12776,290,105248,11,구매,482538
2026-08-05,여름_프로스펙팅,AS_LAL10_광고세트,14791,319,125482,9,구매,344061
2026-08-06,여름_프로스펙팅,AS_LAL10_광고세트,13879,317,111639,14,구매,637794
2026-08-07,여름_프로스펙팅,AS_LAL10_광고세트,13057,238,84270,6,구매,242390
2026-08-08,여름_프로스펙팅,AS_LAL10_광고세트,12360,242,79395,9,구매,338198
2026-08-09,여름_프로스펙팅,AS_LAL10_광고세트,11995,218,77471,10,구매,448079
2026-08-10,여름_프로스펙팅,AS_LAL10_광고세트,15686,371,136962,9,구매,357467
2026-08-11,여름_프로스펙팅,AS_LAL10_광고세트,13675,289,93656,11,구매,429620
2026-08-12,여름_프로스펙팅,AS_LAL10_광고세트,13900,252,99030,8,구매,315921
2026-08-13,여름_프로스펙팅,AS_LAL10_광고세트,16202,324,122533,9,구매,409802
2026-08-14,여름_프로스펙팅,AS_LAL10_광고세트,16935,318,109409,12,구매,651311
2026-08-15,여름_프로스펙팅,AS_LAL10_광고세트,12200,246,93205,6,구매,312654
2026-08-16,여름_프로스펙팅,AS_LAL10_광고세트,12879,276,98376,12,구매,522554
2026-08-17,여름_프로스펙팅,AS_LAL10_광고세트,14697,277,96462,11,구매,535039
2026-08-18,여름_프로스펙팅,AS_LAL10_광고세트,14338,266,101041,7,구매,351221
2026-08-19,여름_프로스펙팅,AS_LAL10_광고세트,16636,359,122759,14,구매,693375
2026-08-20,여름_프로스펙팅,AS_LAL10_광고세트,16929,391,132049,17,구매,886316
2026-08-21,여름_프로스펙팅,AS_LAL10_광고세트,16807,366,133256,10,구매,432386
2026-08-22,여름_프로스펙팅,AS_LAL10_광고세트,13152,249,90459,12,구매,621298
2026-08-23,여름_프로스펙팅,AS_LAL10_광고세트,13411,253,85083,10,구매,550516
2026-08-24,여름_프로스펙팅,AS_LAL10_광고세트,15003,304,112525,11,구매,426626
2026-08-25,여름_프로스펙팅,AS_LAL10_광고세트,18287,338,131355,13,구매,673823
2026-08-26,여름_프로스펙팅,AS_LAL10_광고세트,16708,339,122791,10,구매,463538
2026-08-27,여름_프로스펙팅,AS_LAL10_광고세트,15398,317,119016,11,구매,523579
2026-08-28,여름_프로스펙팅,AS_LAL10_광고세트,17423,366,127009,11,구매,498604
2026-08-29,여름_프로스펙팅,AS_LAL10_광고세트,12408,238,91609,11,구매,577777
2026-08-30,여름_프로스펙팅,AS_LAL10_광고세트,14834,287,99360,8,구매,337957
2026-08-31,여름_프로스펙팅,AS_LAL10_광고세트,16824,332,131009,15,구매,769509
2026-09-01,여름_프로스펙팅,AS_LAL10_광고세트,18325,418,155545,20,구매,1000384
2026-09-02,여름_프로스펙팅,AS_LAL10_광고세트,18580,379,138593,15,구매,796118
