일별,캠페인,광고그룹,키워드,노출수,클릭수,총비용,전환수,전환매출액(원)
2026-08-04,브랜드_파워링크,AG_브랜드_핵심,브랜드명,3888,244,75993,12,590039
2026-08-05,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4049,222,71228,9,394606
2026-08-06,브랜드_파워링크,AG_브랜드_핵심,브랜드명,3988,230,77687,13,613470
2026-08-07,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4269,208,74715,9,410001
2026-08-08,브랜드_파워링크,AG_브랜드_핵심,브랜드명,3163,153,50267,7,395892
2026-08-09,브랜드_파워링크,AG_브랜드_핵심,브랜드명,2774,170,59677,9,539270
2026-08-10,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4035,226,71414,15,659481
2026-08-11,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4181,221,79602,13,711743
2026-08-12,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4627,255,79829,9,500973
2026-08-13,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4434,276,98185,10,587829
2026-08-14,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4007,250,84071,11,586162
2026-08-15,브랜드_파워링크,AG_브랜드_핵심,브랜드명,3368,212,73826,11,530231
2026-08-16,브랜드_파워링크,AG_브랜드_핵심,브랜드명,3058,184,59999,12,603396
2026-08-17,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4820,275,96450,16,887765
2026-08-18,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4838,285,97241,10,520784
2026-08-19,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4626,285,93649,19,901297
2026-08-20,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4757,298,103327,12,674337
2026-08-21,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4155,210,65417,8,401613
2026-08-22,브랜드_파워링크,AG_브랜드_핵심,브랜드명,3315,205,63387,11,534958
2026-08-23,브랜드_파워링크,AG_브랜드_핵심,브랜드명,3188,151,46865,8,445513
2026-08-24,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4509,265,84917,13,613451
2026-08-25,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4719,244,80035,13,634025
2026-08-26,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4241,259,84571,15,767091
2026-08-27,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4280,206,68971,7,318871
2026-08-28,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4518,225,76311,11,578146
2026-08-29,브랜드_파워링크,AG_브랜드_핵심,브랜드명,3139,196,65556,11,582800
2026-08-30,브랜드_파워링크,AG_브랜드_핵심,브랜드명,3579,219,75139,12,510494
2026-08-31,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4852,277,93470,10,531412
2026-09-01,브랜드_파워링크,AG_브랜드_핵심,브랜드명,5284,328,117661,15,835689
2026-09-02,브랜드_파워링크,AG_브랜드_핵심,브랜드명,4723,229,73355,13,679185
